code,name,day
2330,台積電,80.26
2317,鴻海,52.04
2454,聯發科,68.45
2308,台達電,103.55
2382,廣達,53.92
3711,日月光投控,50.35
2357,華碩,115.43
3034,聯詠,55.9
2412,中華電,30.35
2395,研華,101.69
3008,大立光,80.02
2345,智邦,80.17
2327,國巨,124.17
3231,緯創,59.16
2379,瑞昱,84.2
4938,和碩,34.93
2301,光寶科,95.29
3661,世芯-KY,129.47
6669,緯穎,69.36
2207,泰車,26.24
3017,奇鋐,141.52
3045,台灣大,17.6
4904,遠傳,16.16
1590,亞德客-KY,144.4
5871,中租-KY,0
2408,南亞科,265.72
2881,富邦金,0
2883,開發金,0
2887,台新金,0
2882,國泰金,0
2886,兆豐金,0
2884,玉山金,0
2885,元大金,0
2890,永 豐金,0
2892,第一金,0
2880,華南金,0
5880,合庫金,0
5876,上海商銀,0
1303,南亞,78.88
1301,台塑,45.87
1326,台化,48.37
6505,台塑化,47.1
2002,中鋼,120.65
3037,欣興,47.53
1101,台泥,52.03
1216,統一,47.22
2912,統一超,36.87
2603,長榮,0.88
