code,name,,,,,
2303,台積電,,2303,台積電,2891,中信金
2317,鴻海,,2317,鴻海,2881,富邦金
2454,聯發科,,2454,聯發科,2883,開發金
2308,台達電,,2308,台達電,2887,台新金
2382,廣達,,2382,廣達,2882,國泰金
3711,日月光投控,,3711,日月光投控,2886,兆豐金
2357,華碩,,2357,華碩,2884,玉山金
3034,聯詠,,3034,聯詠,2885,元大金
2414,中華電,,2414,中華電,2890,永 豐金
2395,研華,,2395,研華,2892,第一金
3008,大立光,,3008,大立光,2880,華南金
2345,智邦,,2345,智邦,5880,合庫金
2327,國巨,,2327,國巨,5876,上海商銀
3231,緯創,,3231,緯創,,
2379,瑞昱,,2379,瑞昱,,
4938,和碩,,4938,和碩,,
2301,光寶科,,2301,光寶科,,
3661,世芯-KY,,3661,世芯-KY,,
6669,緯穎,,6669,緯穎,,
2207,泰車,,2207,泰車,,
3017,奇鋐,,3017,奇鋐,,
3045,台灣大,,3045,台灣大,,
4904,遠傳,,4904,遠傳,,
1590,亞德客-KY,,1590,亞德客-KY,,
5871,中租-KY,,5871,中租-KY,,
2408,南亞科,,2408,南亞科,,
2891,中信金,,2891,中信金,,
2881,富邦金,,2881,富邦金,,
2883,開發金,,2883,開發金,,
2887,台新金,,2887,台新金,,
2882,國泰金,,2882,國泰金,,
2886,兆豐金,,2886,兆豐金,,
2884,玉山金,,2884,玉山金,,
2885,元大金,,2885,元大金,,
2890,永 豐金,,2890,永 豐金,,
2892,第一金,,2892,第一金,,
2880,華南金,,2880,華南金,,
5880,合庫金,,5880,合庫金,,
5876,上海商銀,,5876,上海商銀,,
