代號,名稱,年/月,平均售貨天數
000980,元大證券,2024/06,
1101,台泥,2024/06,52.03
1102,亞泥,2024/06,39.56
1103,嘉泥,2024/06,17.47
1104,環泥,2024/06,21.86
1108,幸福,2024/06,391.49
1109,信大,2024/06,88.25
1110,東泥,2024/06,233.7
1201,味全,2024/06,40.58
1203,味王,2024/06,141.66
1210,大成,2024/06,37.81
1213,大飲,2024/06,25.15
1215,卜蜂,2024/06,41.58
1216,統一,2024/06,47.22
1217,愛之味,2024/06,98.81
1218,泰山,2024/06,52.5
1219,福壽,2024/06,79.88
1220,台榮,2024/06,79.53
1225,福懋油,2024/06,63.27
1227,佳格,2024/06,102.79
1229,聯華,2024/06,51.3
1231,聯華食,2024/06,72.91
1232,大統益,2024/06,51.66
1233,天仁,2024/06,118.83
1234,黑松,2024/06,283.88
1235,興泰,2024/06,107.92
1236,宏亞,2024/06,70.55
1240,茂生農經,2024/06,28.99
1256,鮮活果汁-KY,2024/06,54.34
1259,安心,2024/06,5.07
1260,富味鄉,2024/06,172.24
1264,德麥,2024/06,74.04
1268,漢來美食,2024/06,19.51
1269,乾杯,2024/06,38.01
1271,晨暉生技,2024/06,173
1293,利統,2024/06,142.57
1294,漢田生技,2024/06,69.73
1295,生合,2024/06,147.32
1301,台塑,2024/06,45.87
1303,南亞,2024/06,78.88
1304,台聚,2024/06,54.54
1305,華夏,2024/06,86.06
1307,三芳,2024/06,84.94
1308,亞聚,2024/06,39.14
1309,台達化,2024/06,24.69
1310,台苯,2024/06,22.54
1312,國喬,2024/06,56.95
1313,聯成,2024/06,45.12
1314,中石化,2024/06,560.13
1315,達新,2024/06,129.32
1316,上曜,2024/06,"3,668.05"
1319,東陽,2024/06,62.75
1321,大洋,2024/06,38.04
1323,永裕,2024/06,79.51
1324,地球,2024/06,93.86
1325,恒大,2024/06,82.54
1326,台化,2024/06,48.37
1336,台翰,2024/06,28.15
1337,再生-KY,2024/06,48.59
1339,昭輝,2024/06,103.6
1341,富林-KY,2024/06,105.13
1342,八貫,2024/06,185.14
1343,旭東環保,2024/06,43.3
1402,遠東新,2024/06,80.01
1408,中紡,2024/06,97
1409,新纖,2024/06,63.15
1410,南染,2024/06,75.61
1413,宏洲,2024/06,59.35
1414,東和,2024/06,302.98
1416,廣豐,2024/06,"1,176.04"
1417,嘉裕,2024/06,214.73
1418,東華,2024/06,113.06
1419,新紡,2024/06,158.42
1423,利華,2024/06,522.62
1432,大魯閣,2024/06,200.45
1434,福懋,2024/06,103.8
1435,中福,2024/06,"1,068.67"
1436,華友聯,2024/06,"2,098.8"
1437,勤益控,2024/06,70.22
1438,三地開發,2024/06,"770,180.57"
1439,雋揚,2024/06,"9,501.46"
1440,南紡,2024/06,139.26
1441,大東,2024/06,79.29
1442,名軒,2024/06,888.86
1443,立益物流,2024/06,35.06
1444,力麗,2024/06,151.78
1445,大宇,2024/06,146.99
1446,宏和,2024/06,825.46
1447,力鵬,2024/06,28.29
1449,佳和,2024/06,217.83
1451,年興,2024/06,109.56
1452,宏益,2024/06,56.83
1453,大將,2024/06,"708,070.51"
1454,台富,2024/06,118.85
1455,集盛,2024/06,75.46
1456,怡華,2024/06,"4,576.43"
1457,宜進,2024/06,63.02
1459,聯發,2024/06,41.36
1460,宏遠,2024/06,267.43
1463,強盛,2024/06,712.36
1464,得力,2024/06,143.21
1465,偉全,2024/06,152.9
1466,聚隆,2024/06,111.54
1467,南緯,2024/06,95.09
1468,昶和,2024/06,375.82
1470,大統新創,2024/06,89.88
1471,首利,2024/06,97.95
1472,三洋實業,2024/06,0
1473,台南,2024/06,61.17
1474,弘裕,2024/06,109.07
1475,業旺,2024/06,17.22
1476,儒鴻,2024/06,72.65
1477,聚陽,2024/06,79.52
1480,東盟開發,2024/06,88.99
1503,士電,2024/06,108.34
1504,東元,2024/06,100.86
1506,正道,2024/06,152.74
1512,瑞利,2024/06,156.89
1513,中興電,2024/06,187.7
1514,亞力,2024/06,134.39
1515,力山,2024/06,37.47
1516,川飛,2024/06,0
1517,利奇,2024/06,194.1
1519,華城,2024/06,232
1521,大億,2024/06,103.03
1522,堤維西,2024/06,135.38
1524,耿鼎,2024/06,135.54
1525,江申,2024/06,64.15
1526,日馳,2024/06,829.5
1527,鑽全,2024/06,90.98
1528,恩德,2024/06,191.4
1529,樂事綠能,2024/06,117.97
1530,亞崴,2024/06,427.42
1531,高林股,2024/06,261.37
1532,勤美,2024/06,460.98
1533,車王電,2024/06,270.34
1535,中宇,2024/06,0.87
1536,和大,2024/06,212.35
1537,廣隆,2024/06,113.5
1538,正峰,2024/06,155.7
1539,巨庭,2024/06,124.25
1540,喬福,2024/06,200.34
1541,錩泰,2024/06,144.01
1557,金豐,2024/06,229.88
1558,伸興,2024/06,92.43
1560,中砂,2024/06,160.35
1563,巧新,2024/06,389.03
1565,精華,2024/06,124.46
1568,倉佑,2024/06,153.44
1569,濱川,2024/06,110.7
1570,力肯,2024/06,148.8
1580,新麥,2024/06,116.16
1582,信錦,2024/06,40.13
1583,程泰,2024/06,410.55
1584,精剛,2024/06,314.51
1585,鎧鉅,2024/06,285.01
1586,和勤,2024/06,96.97
1587,吉茂,2024/06,174.71
1593,祺驊,2024/06,78.49
1594,日高,2024/06,0
1595,川寶,2024/06,880.49
1597,直得,2024/06,387.36
1598,岱宇,2024/06,208.97
1599,宏佳騰,2024/06,144.36
1602,太電,2024/06,91.34
1603,華電,2024/06,173.56
1604,聲寶,2024/06,73.01
1605,華新,2024/06,80.97
1608,華榮,2024/06,148.93
1609,大亞,2024/06,89.62
1611,中電,2024/06,219.28
1612,宏泰,2024/06,122.84
1613,台一,2024/06,61.83
1614,三洋電,2024/06,97.08
1615,大山,2024/06,69.46
1616,億泰,2024/06,97.56
1617,榮星,2024/06,40.42
1618,合機,2024/06,154.19
1623,大東電,2024/06,143.79
1626,艾美特-KY,2024/06,95.88
1701,中化,2024/06,165.45
1702,南僑,2024/06,78.01
1707,葡萄王,2024/06,112.2
1708,東鹼,2024/06,44.76
1709,和益,2024/06,121.03
1710,東聯,2024/06,23.74
1711,永光,2024/06,187.27
1712,興農,2024/06,71.07
1713,國化,2024/06,163.78
1714,和桐,2024/06,51.85
1716,永信藥品,2024/06,290.6
1717,長興,2024/06,91.66
1718,中纖,2024/06,20.52
1720,生達,2024/06,159.92
1721,三晃,2024/06,130.65
1722,台肥,2024/06,82.3
1723,中碳,2024/06,78.41
1725,元禎,2024/06,6.64
1726,永記,2024/06,127.47
1727,中華化,2024/06,61.16
1730,花仙子,2024/06,84.09
1731,美吾華,2024/06,181.26
1732,毛寶,2024/06,100.21
1733,五鼎,2024/06,197.43
1734,杏輝,2024/06,162.6
1735,日勝化,2024/06,97.62
1736,喬山,2024/06,207.6
1737,臺鹽,2024/06,75.81
1742,台蠟,2024/06,63.35
1752,南光,2024/06,177.9
1760,寶齡富錦,2024/06,211.92
1762,中化生,2024/06,450.54
1773,勝一,2024/06,79.75
1776,展宇,2024/06,110.01
1777,生泰,2024/06,240.15
1780,立弘,2024/06,351.3
1781,合世,2024/06,123.78
1783,和康生,2024/06,145.34
1784,訊聯,2024/06,43.71
1785,光洋科,2024/06,187.23
1786,科妍,2024/06,154.42
1788,杏昌,2024/06,76.46
1789,神隆,2024/06,302.27
1795,美時,2024/06,183.68
1796,金穎生技,2024/06,157.58
1799,易威,2024/06,226.15
1802,台玻,2024/06,115.65
1805,寶徠,2024/06,"33,850.18"
1806,冠軍,2024/06,139.73
1808,潤隆,2024/06,"1,385.05"
1809,中釉,2024/06,120.59
1810,和成,2024/06,171.77
1813,寶利徠,2024/06,161.43
1815,富喬,2024/06,146.33
1817,凱撒衛,2024/06,160.27
1819,豐鼎,2024/06,305.71
1903,士紙,2024/06,85.32
1904,正隆,2024/06,102.27
1905,華紙,2024/06,98.66
1906,寶隆,2024/06,5.14
1907,永豐餘,2024/06,66.95
1909,榮成,2024/06,26.85
